file_name,column_name,meaning,example_value,required
contracts.csv,contract_id,Synthetic field for contract_id.,example,true
contracts.csv,contract_type,Synthetic field for contract_type.,example,true
contracts.csv,counterparty,Synthetic field for counterparty.,example,true
contracts.csv,industry,Synthetic field for industry.,example,true
contracts.csv,agreement_date,Synthetic field for agreement_date.,example,true
contracts.csv,synthetic_flag,Synthetic field for synthetic_flag.,example,true
contracts.csv,contract_summary,Synthetic field for contract_summary.,example,true
excerpts.csv,excerpt_id,Synthetic field for excerpt_id.,example,true
excerpts.csv,contract_id,Synthetic field for contract_id.,example,true
excerpts.csv,clause_category,Synthetic field for clause_category.,example,true
excerpts.csv,excerpt_text,Synthetic field for excerpt_text.,example,true
excerpts.csv,difficulty_level,Synthetic field for difficulty_level.,example,true
excerpts.csv,trick_type,Synthetic field for trick_type.,example,true
excerpts.csv,notes,Synthetic field for notes.,example,true
gold_labels.csv,label_id,Synthetic field for label_id.,example,true
gold_labels.csv,excerpt_id,Synthetic field for excerpt_id.,example,true
gold_labels.csv,contract_id,Synthetic field for contract_id.,example,true
gold_labels.csv,field_name,Synthetic field for field_name.,example,true
gold_labels.csv,gold_answer,Synthetic field for gold_answer.,example,true
gold_labels.csv,gold_source_text,Synthetic field for gold_source_text.,example,true
gold_labels.csv,answer_status,Synthetic field for answer_status.,example,true
gold_labels.csv,requires_legal_sme,Synthetic field for requires_legal_sme.,example,true
gold_labels.csv,ambiguity_flag,Synthetic field for ambiguity_flag.,example,true
gold_labels.csv,label_notes,Synthetic field for label_notes.,example,true
prompt_versions.csv,prompt_version,Synthetic field for prompt_version.,example,true
prompt_versions.csv,prompt_name,Synthetic field for prompt_name.,example,true
prompt_versions.csv,prompt_text,Synthetic field for prompt_text.,example,true
prompt_versions.csv,intended_improvement,Synthetic field for intended_improvement.,example,true
prompt_versions.csv,known_limitations,Synthetic field for known_limitations.,example,true
model_runs.csv,run_id,Synthetic field for run_id.,example,true
model_runs.csv,prompt_version,Synthetic field for prompt_version.,example,true
model_runs.csv,model_name,Synthetic field for model_name.,example,true
model_runs.csv,run_date,Synthetic field for run_date.,example,true
model_runs.csv,run_description,Synthetic field for run_description.,example,true
model_runs.csv,reviewer,Synthetic field for reviewer.,example,true
model_outputs.csv,output_id,Synthetic field for output_id.,example,true
model_outputs.csv,run_id,Synthetic field for run_id.,example,true
model_outputs.csv,label_id,Synthetic field for label_id.,example,true
model_outputs.csv,excerpt_id,Synthetic field for excerpt_id.,example,true
model_outputs.csv,contract_id,Synthetic field for contract_id.,example,true
model_outputs.csv,field_name,Synthetic field for field_name.,example,true
model_outputs.csv,ai_answer,Synthetic field for ai_answer.,example,true
model_outputs.csv,ai_source_text,Synthetic field for ai_source_text.,example,true
model_outputs.csv,confidence,Synthetic field for confidence.,example,true
model_outputs.csv,match_status,Synthetic field for match_status.,example,true
model_outputs.csv,score,Synthetic field for score.,example,true
model_outputs.csv,error_type,Synthetic field for error_type.,example,true
model_outputs.csv,severity,Synthetic field for severity.,example,true
model_outputs.csv,source_match_status,Synthetic field for source_match_status.,example,true
model_outputs.csv,missed_nuance,Synthetic field for missed_nuance.,example,true
model_outputs.csv,over_extracted,Synthetic field for over_extracted.,example,true
model_outputs.csv,escalation_required,Synthetic field for escalation_required.,example,true
model_outputs.csv,suggested_instruction_fix,Synthetic field for suggested_instruction_fix.,example,true
error_taxonomy.csv,error_type,Synthetic field for error_type.,example,true
error_taxonomy.csv,definition,Synthetic field for definition.,example,true
error_taxonomy.csv,example,Synthetic field for example.,example,true
error_taxonomy.csv,typical_severity,Synthetic field for typical_severity.,example,true
error_taxonomy.csv,escalation_guidance,Synthetic field for escalation_guidance.,example,true
